pe_ratio,debt_to_equity,roe,revenue_growth,rsi,macd_signal,bollinger_position,volume_ratio,market_cap,sector,news_sentiment,analyst_rating,future_return
18.13,1.28,0.0657,0.0585,5.57,3.5869,0.5435,1.35,1181.84,Finance,1.2332,1.1,0.0129
10.91,1.26,0.0956,0.0751,98.58,-0.4826,0.0904,1.69,64405.99,Finance,-0.7761,4.42,0.0178
20.45,0.56,0.0722,0.0896,80.0,1.2899,0.4645,0.96,43936.07,Energy,-1.5367,1.45,-0.3
41.2,1.35,0.1288,0.222,86.88,-1.2751,0.1776,0.5,2437.25,Energy,-1.9815,2.14,-0.3
10.1,2.56,0.2158,-0.0321,69.43,-2.0656,0.2112,1.4,25749.46,Healthcare,0.5132,4.27,0.2776
10.1,0.77,0.0583,-0.047,18.61,-0.3909,0.3668,1.08,53898.9,Technology,0.453,2.06,-0.0056
43.09,3.09,0.2001,0.2655,3.1,-2.7252,0.7613,1.03,1278.4,Healthcare,-0.5846,2.03,-0.3
22.51,2.21,0.0575,0.0106,86.47,-1.8752,0.744,0.53,1024.54,Technology,1.1719,3.41,0.1939
8.37,1.06,0.0522,-0.1095,39.63,1.1829,0.415,0.91,950.88,Consumer,-0.6449,4.61,0.0266
18.8,1.51,0.1855,0.0072,26.39,-1.0273,0.1187,0.55,716.23,Finance,-1.2417,1.85,-0.3
8.41,4.3,0.1938,0.0305,56.17,1.421,0.2807,1.27,941.82,Healthcare,-0.9484,3.48,-0.1028
8.39,2.56,0.1881,0.3132,42.09,0.5988,0.5054,0.81,51512.33,Technology,1.4118,3.4,0.3
14.78,1.66,0.0147,0.2187,65.17,3.7023,0.8694,0.77,24728.2,Consumer,0.8415,3.64,0.2237
2.64,1.43,0.0827,0.2521,48.38,1.0487,0.9683,0.46,272.6,Healthcare,-0.1676,4.79,0.2603
3.07,1.73,0.1858,0.203,69.72,2.2284,0.6375,1.67,2920.96,Finance,-0.2698,1.66,-0.0634
7.77,1.21,0.1233,0.2219,85.34,0.8038,0.3507,0.88,799.77,Consumer,-0.5667,3.62,0.0419
5.42,0.47,0.0341,-0.0232,19.56,0.6228,0.6935,1.04,45390.6,Energy,-2.4347,1.73,-0.3
15.66,5.61,0.1567,0.0502,32.94,2.3295,0.3362,0.69,3296.8,Finance,-1.5994,2.26,-0.3
5.89,1.81,0.0628,-0.0685,43.68,1.3376,0.6255,0.44,369.13,Energy,-0.1394,2.56,-0.0478
3.94,2.09,0.2636,0.0484,96.21,0.4201,0.2438,0.77,11388.17,Consumer,0.5899,4.34,0.3
39.35,1.59,0.2436,0.1826,36.53,0.4113,0.267,0.83,27254.78,Consumer,-0.3272,1.21,-0.3
10.17,1.06,0.1683,0.1002,38.11,1.0765,0.0752,1.16,1203.04,Energy,-1.551,3.93,-0.1608
12.86,1.47,0.2289,0.2767,65.35,-1.3427,0.4201,0.84,4770.32,Technology,1.626,4.65,0.3
3.9,0.63,0.1252,-0.0912,41.92,-1.4276,0.6182,0.7,1333.03,Consumer,-1.3716,1.32,-0.3
7.88,6.46,0.1812,0.155,95.12,2.8508,0.7888,0.47,97547.51,Healthcare,0.0165,4.16,0.2003
13.31,0.79,0.2382,-0.1072,89.45,3.7288,0.8103,1.02,3419.62,Healthcare,0.159,1.43,-0.1144
4.85,0.89,0.1396,0.0941,51.34,-1.8578,0.9924,0.67,1912.8,Consumer,2.3453,4.85,0.3
16.45,1.27,0.0996,0.1911,64.48,-1.338,0.0878,1.94,7312.56,Energy,-0.9439,4.26,-0.0541
7.53,3.57,-0.0164,0.0478,5.8,2.285,0.4931,1.08,5350.26,Energy,0.0464,3.78,0.0909
9.65,1.66,0.1133,0.1627,69.57,1.067,0.5214,1.32,32112.06,Finance,0.1785,3.2,0.1116
7.53,0.79,0.1859,-0.064,70.72,1.3529,0.8045,0.88,92234.95,Energy,-1.137,4.68,-0.0205
53.61,3.5,0.1957,-0.1696,35.92,1.7932,0.2664,1.11,93643.14,Technology,0.302,1.48,-0.3
12.05,2.56,0.1603,0.1636,21.97,-0.4815,0.0694,0.64,3775.11,Technology,-0.4364,1.49,-0.1902
5.23,2.28,0.0767,0.3416,91.51,0.6599,0.3138,0.55,14916.56,Healthcare,-0.31,4.29,0.1631
23.52,2.53,-0.0381,-0.0694,42.67,0.5044,0.9839,1.01,159054.12,Consumer,-0.7228,2.93,-0.2948
4.59,6.94,0.0804,0.2633,65.37,-1.717,0.8994,1.33,171784.77,Healthcare,1.1773,4.38,0.3
14.4,6.12,0.0957,0.0865,3.33,0.6302,0.3952,0.38,1405.56,Consumer,-0.1266,2.56,-0.0724
2.54,1.09,0.095,-0.1204,41.41,2.4754,0.8763,0.78,26489.15,Healthcare,-0.8017,2.81,-0.1429
4.21,4.37,0.1695,-0.0897,81.73,-0.6683,0.0328,2.51,18890.44,Consumer,-2.1656,2.33,-0.3
14.26,2.07,0.2789,0.0824,38.76,0.3051,0.3142,1.27,51677.36,Consumer,1.8811,4.8,0.3
21.99,2.22,0.1299,0.0193,60.32,0.4134,0.7268,2.16,97463.69,Healthcare,0.0756,2.86,-0.0556
13.97,0.6,0.1027,-0.1169,20.99,-0.5693,0.2215,0.73,1010.35,Finance,1.288,4.02,0.3
11.11,1.49,0.0993,-0.1741,41.65,1.3538,0.1984,0.8,2035.8,Technology,1.2387,3.78,0.3
9.57,1.01,0.13,-0.047,92.76,-1.3601,0.8618,1.62,49772.48,Energy,0.375,1.94,-0.0234
3.73,2.71,0.0537,0.1091,56.65,2.6653,0.616,1.37,10895.02,Technology,0.9129,4.66,0.3
6.85,3.14,0.1296,0.079,90.19,1.2524,0.989,0.95,94.21,Energy,1.2661,3.18,0.3
